MP ID,MP Name,Region Id,GL Code,GL Name,Parent ASIN,ASIN,Review Id,Review Title,review_text,rating,Brand,Verbatim,Verbatim Score,Topic Id,L1 Topic,L2 Topic,L3 Topic,l4_defect,Polarity,Submission Date,Last Updated DateTime,Week Number
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,76793792671,It doesn't work with Apple's FaceTime software,"The product description says this webcam is compatible with Mac OS.  It also says that the webcam is ""Fully compatible with Zoom, Microsoft Teams, Google Meet, and more.""  Since all Macs are pre-loaded with FaceTime webchat software, you might assume from InstaLink's ads that, since the product is compatible with Mac OS, the camera just HAS TO be compatible with FaceTime.  (Remember the ""and more"" part of "". . . Zoom, Microsoft Teams, Google Meet, and more""?)  But if you assume this, you will be wrong.  I do note that the webcam works flawlessly on the Zoom platform.  But it is NOT compatible with FaceTime.  While the image your FaceTime chat buddy will get of you will be a nice one (but I did notice occasional image freezes during a typical chat session), the audio quality will not be acceptable.  The voice you transmit will be full of echo and other artifacts.  When the person you are calling tries to reply to you, he will hear his own voice in a slight delay.  Adjusting your audio output will not solve the problem.  According to InstaLink's technical support, ""Our team has confirmed that the Link 2 and Link 2C do not have built-in echo cancellation algorithms. Instead, they rely on the echo cancellation capabilities of the software being used, such as FaceTime.""  What this means is that unless you wear headphones while you chat, do not use FaceTime with this product.  Use Zoom.",3,,But it is NOT compatible with FaceTime,0.68,b39caef8-422a-4851-a293-16cb269c2a73,product component related specs or functionalities,compatibility,compatibility overall,not compatible with face time,negative,2025-06-18T21:31:15.000Z,2025-08-24T16:51:04.000Z,2025/6/14 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,76858341811,great WebCam,pricey but worty. Best webcam I have so far,5,,pricey,0.62,d5cf40c9-235b-4ff2-a71b-264a18d40bf2,miscellaneous,customer preference,price,price - generic,negative,2025-06-22T00:10:51.000Z,2025-08-24T16:08:16.000Z,2025/6/21 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,77000004361,Best web cam Ive used,Great value-product,5,,Great value-product,0.93,12d43076-9e57-4595-a591-e9edd95c86c2,miscellaneous,customer preference,price,good value,positive,2025-06-28T22:35:37.000Z,2025-08-24T16:05:24.000Z,2025/6/28 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,77045074791,Good but complex,Getting it set up with the controller was so complex and then I didn't have a way to set it up with streaming on twitch or anything. Also when using the controller to record and take pics I can't find where that stuff went. The tracking is pretty good still has some sensitivity to work on but the tracking is still pretty good and the camera quality i love so while it has good features its just to complex to get working right its not a simple plug and use camera.,3,,Good,0.93,0e56c68e-897d-42f1-9c1c-e72e8624ae45,miscellaneous,customer preference,customer satisfaction,customer satisfaction - generic,positive,2025-07-01T02:49:19.000Z,2025-08-24T16:25:15.000Z,2025/6/28 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,77260230241,"Great product.  For a day or two, then it quits working.","When I first looked at this camera, I was one to say I NEED THAT IN MY LIFE.  To my disappointment, my excitement did not last long.  I do a lot of remote meetings, and as soon as the meetings start, the camera turns on, but immediately turns off, freezing my face and preventing me from doing presentations.  HUGE DISSAPOINTMENT.",1,,Great product,0.97,e37d7c0f-aed0-44e4-91e1-313e5ddb9f63,product component related specs or functionalities,quality,quality overall,quality overall - generic,positive,2025-07-15T19:00:59.000Z,2025-08-17T02:58:56.000Z,2025/7/12 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,77446262001,Gets hot on my Mac,Heats up too much,1,,Heats up too much,0.9,ba24c9c2-fe1d-4a17-9a75-5af5868c19ce,product component related specs or functionalities,performance,heating,heats up,negative,2025-07-19T21:30:00.000Z,2025-08-20T22:42:26.000Z,2025/7/19 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,77560080851,"Great Little camera for macOS, Windows AND Linux!","This is a great little camera. I was stunned at its performance. Tested using Ubuntu Linux, macOS and Windows.<br /><br />For Linux users, there is no ""official"" app, but you can control it from OBS or using a free app called ""WebCamControl"" and available as a FlatPak.",5,,This is a great little camera,0.97,3df1ec17-288c-4a33-815c-4c40ddf73271,product component related specs or functionalities,quality,camera quality,camera quality - generic,positive,2025-07-24T20:17:22.000Z,2025-08-02T10:29:26.000Z,2025/7/19 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,77995962391,Excelente,"Excelente producto, muy bueno, sus funciones son increíbles, además puedo manejarlo desde mi celular como forma de control o configuración, muy práctico",5,,Excelente,0.59,cacafaee-fe36-4663-a400-68cc50b096a9,miscellaneous,customer preference,customer satisfaction,customer satisfaction - generic,positive,2025-08-12T18:49:11.000Z,2025-08-24T16:04:44.000Z,2025/8/9 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,78043050351,It WILL stop working,I can't get ANY of the AI features or gimball to work at all. Customer Service is pretty useless. They'll tell you to ship it to Hong Kong on your own dime. Waste of $300. Piece of trash now to be honest.,1,,Waste of $300,0.42,1b045272-6525-4c90-893f-d8cc87567c3c,miscellaneous,customer preference,price,wasted price,negative,2025-08-14T19:38:59.000Z,2025-08-16T14:56:13.000Z,2025/8/9 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,78176275151,Awesome,Awesome,5,,Awesome,0.92,fc522dcf-977c-41b3-8c3b-7c8a6788757c,miscellaneous,customer preference,customer satisfaction,customer satisfaction - generic,positive,2025-08-21T03:46:14.000Z,2025-08-24T16:45:10.000Z,2025/8/16 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0BB7N5Z97,78029139671,It's better than all the others in the price range. Better than the Elgato Facecam Mk2.,"For the price, you just can't beat it. I've only had it for one day, but I've put it through the paces and it's a tiny little beast. Picture quality is really great, even at 1080p60fps. It's damn near it's 2160p30fps quality. Almost can't tell the difference.<br />The auto AI face tracking is very well done.<br />I'll say it again, you can't beat this thing in this price range. I tried a couple others in the sub $130 price ranges, and they just didn't cut it. This is better than the Elgato Facecam Mk.2. Just get this one and be happy with your purchase.",5,,Picture quality is really great,0.82,d49bbd15-1382-4143-9968-b84d1f1f2f69,product component related specs or functionalities,image,image or picture clarity,image or picture clarity - generic,positive,2025-08-14T04:35:51.000Z,2025-08-22T11:57:26.000Z,2025/8/9 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0C2CFW1QV,76671837061,Buena pero no tiene control remoto,"Es de una calidad superior, solo le falta tener control.",5,,Buena,0.58,c6705779-6f2a-46d1-8855-992fbba4847a,miscellaneous,customer preference,customer satisfaction,customer satisfaction - generic,positive,2025-08-22T23:36:00.000Z,2025-08-24T16:55:51.000Z,2025/8/16 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0C2CFW1QV,78161828061,Stay Away,"I bought this for the picture quality, which is great, but the camera does not work with Teams and constantly loses connection in Zoom.  I would stay away from the product.  Even there customer service lost connection when I tried to contact them.",1,,which is great,0.92,a7fa2a84-60a9-4fc4-af55-67766e331787,miscellaneous,customer preference,customer satisfaction,customer satisfaction - generic,positive,2025-08-20T16:23:17.000Z,2025-08-22T08:21:59.000Z,2025/8/16 00:00
1,1 - US,1,421,gl_camera,B0DY1PP7XG,B0DDTG3LKN,78043274341,Tripod is not high enough.,The tripod only raises the camera 7.5 inches which is not high enough to be above the screen height of my laptop so I have to put it on top of some books to be high enough.,4,,Tripod is not high enough,0.73,23b564b8-a988-4d1e-a0ad-cac8ac0a8220,design or make,height related,height adjustability,short tripod,negative,2025-08-14T20:30:05.000Z,2025-08-21T23:26:32.000Z,2025/8/9 00:00
1,1 - US,1,421,gl_camera,B0DY1PP7XG,B0DDTGY8FG,77534467811,Buena calidad para reuniones,"Me gustó mucho la calidad final, a pesar de las comparaciones con otros productos, estoy muy satisfecho con cómo se ve en reuniones virtuales",5,,Buena calidad para reuniones,0.44,71ffc0e7-cee9-4c5c-b0c9-daf32f55e28d,product component related specs or functionalities,quality,quality overall,good for meetings,positive,2025-07-23T17:26:33.000Z,2025-08-22T17:53:39.000Z,2025/7/19 00:00
1,1 - US,1,421,gl_camera,B0DY1PP7XG,B0DDTGY8FG,77570159971,High Quality and easy to use with zoom,It works perfectly well. Installation is super easy,5,,Installation is super easy,0.54,f69b1bb3-0fbe-40c4-80ff-b0d1077cc5ea,product component related specs or functionalities,assembly installation,assembly installation,easy to install,positive,2025-07-25T02:42:35.000Z,2025-08-22T05:27:54.000Z,2025/7/19 00:00
1,1 - US,1,421,gl_camera,B0DY1PP7XG,B0DDTGY8FG,77589775601,5 estrellas,Me encantó!,5,,5 estrellas,0.64,192d4861-1a1b-434d-83bb-7c48262b9100,miscellaneous,customer preference,customer satisfaction,customer satisfaction - generic,positive,2025-07-26T02:55:10.000Z,2025-08-07T15:32:30.000Z,2025/7/26 00:00
1,1 - US,1,421,gl_camera,B0DY1PP7XG,B0DDTGY8FG,77590655471,This is the webcam to get,"I bought this webcam to use in making videos for YouTube.  The camera is well designed and well made. It has been flawless in setting up and in using. It takes video to a whole new level over a MacBook Pro webcam. The software works well for fine tuning if desired. I highly recommend this webcam. Buy it, you won’t regret it.",5,,"Buy it, you wont regret it",0.73,5e68dd7b-27dd-4c4d-b1dc-72cc365a321e,miscellaneous,customer preference,customer satisfaction,customer satisfaction - generic,positive,2025-07-26T02:11:50.000Z,2025-08-23T11:50:54.000Z,2025/7/26 00:00
1,1 - US,1,421,gl_camera,B0DY1PP7XG,B0DDTGY8FG,77707424291,"Great quality, low distortion, sharp clear picture","I’m genuinely blown away by how good this camera is. From the high-quality construction to the crystal-clear video, it exceeded my expectations.<br />Here’s a quick breakdown:<br />Build Quality: Excellent — solid, premium feel<br />Image Quality: Exceptional — sharp, clear, bright<br />Image Distortion: This is where it really stands out. Most people don’t realize that the ultra-wide angles on typical webcams tend to distort the mid-face, pulling it forward and making people look odd on video calls. This camera strikes the perfect balance: wide enough to capture a full frame, but not so wide that it distorts your face. In short, you actually look like you on this camera — more natural and accurate than others I’ve tried.<br /><br />I’m very pleasantly surprised and highly impressed.",5,,it exceeded my expectations,0.91,d8baf90a-e0ce-499d-ae03-ac54c84c81b3,miscellaneous,catalog match,as advertised claimed,exceeds expectations,positive,2025-07-31T15:52:19.000Z,2025-08-03T17:47:31.000Z,2025/7/26 00:00
1,1 - US,1,421,gl_camera,B0DY1PP7XG,B0DDTGY8FG,77743791471,Great for dedicated streaming or people who wanna look their best in zoom meetings,"I’ve been using this webcam for streaming and will soon be using it for zoom, and the ai tracking features are so helpful for keeping me in frame. It is 4k quality as advertised, and all you have to do to connect is plug and play. Easy 5 out of 5 here.",5,,Easy 5 out of 5 here,0.69,97ac5f0c-7ee6-4638-87af-52f658065d19,product component related specs or functionalities,usability,ease of use,ease of use - generic,positive,2025-08-02T02:10:14.000Z,2025-08-24T08:32:26.000Z,2025/8/2 00:00
1,1 - US,1,421,gl_camera,B0DY1PP7XG,B0DDTGY8FG,77783298061,Camara,Buena imagen,5,,Buena imagen,0.79,eb6d35f6-e240-4dc3-a218-387e8af2de91,product component related specs or functionalities,image,image or picture clarity,image or picture clarity - generic,positive,2025-08-03T21:15:26.000Z,2025-08-24T08:32:27.000Z,2025/8/2 00:00
1,1 - US,1,421,gl_camera,B0DY1PP7XG,B0DDTGY8FG,77818022471,Great picture and good audio quality so far...,"I have had about a half dozen different web cams before. Some expensive, some much less.  I've only had 2 video calls with it so far and the picture clarity is super good.  Didn't have any issues with the mic. The auto track is good but sometimes adjusts to frequently.  It seems I move a bit while on calls.  lol. Fortunately I can turn off the auto track. Sp far, it is a 5 star for me.",5,,the picture clarity is super good,0.64,a83248d9-07fe-4099-b320-c85317360975,product component related specs or functionalities,quality,quality overall,good picture clarity,positive,2025-08-05T03:07:49.000Z,2025-08-22T05:31:14.000Z,2025/8/2 00:00
1,1 - US,1,421,gl_camera,B0DY1PP7XG,B0DDTGY8FG,77838744301,Excelente Webcam,Muy buena,5,,Muy buena,0.59,39110944-1ed4-428f-9678-a974c51f0f79,miscellaneous,customer preference,customer satisfaction,customer satisfaction - generic,positive,2025-08-06T00:25:10.000Z,2025-08-24T08:50:08.000Z,2025/8/2 00:00
1,1 - US,1,421,gl_camera,B0DY1PP7XG,B0DDTGY8FG,77883958181,Retorno en audio,"La calidad es muy buena, el audio tiene retorno permanente y no funciona correctamente, estoy pensando en regresarla<br /><br />UPDATE<br />I encountered a small issue that required a refund, I was very impressed by the way the customer experience team handled the situation. The support was fast, clear, and respectful, which made me feel valued as a customer.<br />What I appreciate most is how smooth the communication was — every message was professional yet warm. This kind of service gives me full confidence to buy again in the future. I’m very satisfied with the attention I received and I look forward to exploring more Insta360 products soon.",4,,La calidad es muy buena,0.29,830a7df2-7caa-43bb-9134-38649b548b24,product component related specs or functionalities,quality,quality overall,quality overall - generic,positive,2025-08-07T22:31:00.000Z,2025-08-22T06:09:07.000Z,2025/8/2 00:00
1,1 - US,1,421,gl_camera,B0DY1PP7XG,B0DDTGY8FG,77885474001,Better than expected,"I work remotely and find that high quality conferencing equipment is worth it, but I've been putting off getting a better webcam since big review sites claim that there's not basically no difference between high-end equipment and the standard Logitech C922. Well, they're wrong and this is drastically better. I typically work in a reasonably bright room but with no direct light on my face, and the C922 would leave my face in shadow. I bought this camera and a ring light, but it turns out the ring light is unnecessary: I look completely normal and unshadowed on the InstaLink even without the ring light.<br /><br />Wish I had bought something like this years ago.",5,,Better than expected,1.0,75cd32c1-5410-434d-99ac-b5e6152f9d18,miscellaneous,catalog match,as advertised claimed,better than expected,positive,2025-08-07T22:25:35.000Z,2025-08-24T08:27:38.000Z,2025/8/2 00:00
1,1 - US,1,421,gl_camera,B0DY1PP7XG,B0DDTGY8FG,77946294121,Very functional camera for the price,This is a very functional camera. We like the green screen capability and you can import your own background too.,5,,Very functional camera for the price,0.51,778f7e04-18a7-40ea-b4f2-d4550e5bb67a,product component related specs or functionalities,quality,camera quality,functional camera at price,positive,2025-08-10T18:57:15.000Z,2025-08-22T17:22:23.000Z,2025/8/9 00:00
1,1 - US,1,421,gl_camera,B0DY1PP7XG,B0DDTGY8FG,78024153681,"Wanted to love this, but…","Too many issues. Colors look washed out, and the virtual camera constantly fails—often showing a black screen instead of the feed. Sometimes it works, sometimes it doesn’t. This feels very much like a software problem, and far from “ready to go.”<br /><br />As someone who’s been on a Mac for over 10 years, repeatedly uninstalling/reinstalling the software brought back memories of my old Windows troubleshooting days.<br /><br />There’s also an incredibly frustrating lag when recording 4K video. It got so bad that I now have to fix the timing in my editing software because nothing I tried could remove the lag.<br /><br />The best thing about this camera is the magnetic mount—it sits securely on top of my monitor—and the resolution can look good. But for a $150 camera with all the hype, I expected much more: a frictionless, plug-and-play experience, not hours wasted each week trying to get the virtual camera working (which is the only way to enable blurry background or bokeh effects).<br /><br />I’m returning this and will be looking at competitor products instead.",2,,Colors look washed out,0.94,f39a4cab-bfdb-47b5-b650-1df4297bff0c,design or make,color,color,color washed off,negative,2025-08-14T01:33:59.000Z,2025-08-15T19:52:14.000Z,2025/8/9 00:00
1,1 - US,1,421,gl_camera,B0DY1PP7XG,B0DDTGY8FG,78074636291,Great webcam for professionals and live streaming,"Great webcam, really good camera and image quality, appreciate the privacy feature of closing the camera cover (one of my buying pain points), it’s autofocus and following feature is CRAZY!<br /><br />The base is okay, it all depends on the thickness of your monitor’s border, but yiu can use a selfie stick with a base or a tripod to mount it on that and works.<br /><br />It’s a great value for the money because it also brings its own software where you customize the lighting, the limits of what people will see and you can adjust throughout your calls, a great function that physically can’t be seen, but for sure it ups the product’s value.",4,,Its a great value for the money because it also brings its own software where you customize the lighting,0.5,f052ec3a-15f6-4c9c-aae7-7804d8a44f11,design or make,display related,display brightness,good light adjustment,positive,2025-08-16T13:10:25.000Z,2025-08-20T00:37:29.000Z,2025/8/16 00:00
1,1 - US,1,421,gl_camera,B0DY1PP7XG,B0DDTGY8FG,78143442181,Wonderful upgrade from a webcam,"I love this camera.  It is so small and easy to set-up.  The app is intuitive!!  I love it, so does my producer.",5,,I love it,0.89,74f913d9-bc0e-4613-ab7c-4f7fe8853f13,miscellaneous,customer preference,customer satisfaction,customer satisfaction - generic,positive,2025-08-19T18:49:02.000Z,2025-08-24T08:54:13.000Z,2025/8/16 00:00
1,1 - US,1,421,gl_camera,B0DY1PP7XG,B0DDTGY8FG,78187092401,Awesome value,"Beats my Logitech c930e by a mile. Motion is smoother, picture is a bit sharper and has less noise in it in low to medium lighting, it has a more versatile mount, more features, and even the mic is better. I don’t use the software much but it’s user friendly, also.<br /><br />Only minor complaint is that the included cable is a bit short for my setup. I ended buying a longer cable for it so I had more freedom with where to place it.<br /><br />For the price? This is the one.",5,,Awesome value,0.96,8c36fde0-a278-4c29-88e4-594e42799a5e,miscellaneous,customer preference,price,good value for tje price,positive,2025-08-21T18:47:50.000Z,2025-08-23T12:22:36.000Z,2025/8/16 00:00
1,1 - US,1,147,gl_pc,B0DHQHZ1BS,B0DDTH3HX8,75436859701,Too heavy,"Nice camera, but too heavy and bulky for a macbook pro. Kept tilting my screen back.",2,,Too heavy,0.97,211c9d9a-937a-4b49-b6a3-00ef944accab,product component related specs or functionalities,quality,weight heavy,weight heavy - generic,negative,2025-04-11T18:37:48.000Z,2025-07-16T14:00:23.000Z,2025/4/5 00:00
1,1 - US,1,147,gl_pc,B0DHQHZ1BS,B0DDTH3HX8,75459736931,OUTSTANDING quality!,"I tested five other cameras on top of this one, and NONE of them could even come close. The picture quality is outstanding and jam-packed with features that I'll never even use. If you want a webconferencing camera and are willing to pay more for it, this is the one you need. Don't even bother looking elsewhere - get this one. You won't regret it.",5,,The picture quality is outstanding,0.83,437d7320-c6e4-42d0-8b8b-f04d8639ef2d,product component related specs or functionalities,image,image or picture clarity,good picture quality,positive,2025-04-12T23:05:10.000Z,2025-08-11T06:02:32.000Z,2025/4/12 00:00
1,1 - US,1,147,gl_pc,B0DHQHZ1BS,B0DDTH3HX8,75481462511,absolutly awful!,"I debated between this and the Logitech Brio 4k.  They were the same cost but this one came out better for video quality and the ai tracking.  I should have gone with my gut and got the trusted Logitech cam vs this one.  Out of the box you are instructed to scan the QR code for setup - that produced nothing.  I went to their website and downloaded the software.  It was straightforward and seemed to work well until I went to update the default camera in Zoom and Teams.  OMG - 3 restarts, lowered the quality all the way down to 720 - still was making my high quality pc freeze.  Also I was disappointed this does not have the VOF adjustment that Logitech does.  I have spent hours messing with this but ultimately just filed for a return and ordered the Logitech camera.  Logitech may not have all the whistles and bells this camera has but at least it won't crash my computer.",1,,I have spent hours messing with this,0.55,fe9732f9-dea2-4e04-8cfb-7461e2389072,miscellaneous,customer preference,customer satisfaction,customer satisfaction - generic,negative,2025-04-14T03:09:38.000Z,2025-07-09T03:35:33.000Z,2025/4/12 00:00
1,1 - US,1,147,gl_pc,B0DHQHZ1BS,B0DDTH3HX8,75486104171,Doesn't work with ARM64 PCs but Awesome Customer Service,"The camera doesn't really work with ARM64 PCs. In addition, it only fully work with PCs (not sure about Macs) with Nvidia graphic cards. When I installed  the software, my internal and Insta360 stopped working. I ended up removing Insta360 software to get internal webcam working. I bought the webcam for the features of listed when compared to other webcams. I didn't see the limitations of the webcam listed with the features. I definitely will not buy this webcam again. For me, this is a paperweight until Insta360 updated the software and possibly firmware of the webcam.<br /><br />Update 7/16/2025:<br /><br />The company reached out to me confirming that the camera currently doesn't work with Windows ARM64 devices AND offered me a partial refund. I still love the features of the webcam. I'm anxiously awaiting the (hoping) it'll be updated to work with ARM64 devices, especially since all Macs use ARM64. I'm very impressed by the customer service and increased from 2 stars to 4 stars. I'll give 5 stars when the webcam works with Windows ARM64 devices. I highly recommend now for devices with Nvidia graphics. Hopefully, soon I can highly recommend for all devices.",4,,I definitely will not buy this webcam again,0.53,fb43b7b3-2b1c-4f3e-adf9-59e0f67afdba,miscellaneous,customer preference,customer satisfaction,customer satisfaction - generic,negative,2025-04-14T15:54:12.000Z,2025-08-24T11:32:35.000Z,2025/4/12 00:00
